"nx_goods_id"	"nx_goods_name"	"nx_goods_standardname"	"nx_goods_father_id"	"sku_stored_grand_id"	"sku_should_grand_id"	"sku_stored_gg_id"	"sku_should_gg_id"
"100002"	"油菜"	"斤"	"10102"	"101"		"1"	
"100003"	"香菜"	"斤"	"10103"	"101"		"1"	
"100004"	"芹菜"	"斤"	"10104"	"101"		"1"	
"100005"	"韭菜"	"斤"	"10105"	"101"		"1"	
"100007"	"圆生菜"	"斤"	"10107"	"101"		"1"	
"100008"	"西兰花"	"斤"	"10108"	"101"		"1"	
"100009"	"菜花"	"斤"	"10109"	"101"		"1"	
"100010"	"菠菜"	"斤"	"10110"	"101"		"1"	
"100011"	"黄心大白菜"	"斤"	"10111"	"101"		"1"	
"100012"	"油麦菜"	"斤"	"10112"	"101"		"1"	
"100014"	"茴香"	"斤"	"10114"	"101"		"1"	
"100015"	"小白菜"	"斤"	"10115"	"101"		"1"	
"100016"	"苦苣"	"斤"	"10116"	"101"		"1"	
"100017"	"紫甘蓝"	"斤"	"10117"	"101"		"1"	
"100020"	"空心菜"	"斤"	"10120"	"101"		"1"	
"100022"	"蒜黄"	"斤"	"10122"	"101"		"1"	
"100028"	"奶白菜"	"斤"	"10128"	"101"		"1"	
"100030"	"鸡毛菜"	"斤"	"10130"	"101"		"1"	
"100034"	"豆苗"	"斤"	"10541"	"101"		"1"	
"100035"	"土豆"	"斤"	"10134"	"102"		"1"	
"100036"	"胡萝卜"	"斤"	"10135"	"102"		"1"	
"100037"	"白萝卜"	"斤"	"10136"	"102"		"1"	
"100038"	"红薯"	"斤"	"10137"	"102"		"1"	
"100039"	"莲藕"	"斤"	"10138"	"102"		"1"	
"100041"	"心里美"	"斤"	"10140"	"102"		"1"	
"100043"	"沙窝萝卜"	"斤"	"10142"	"102"		"1"	
"100044"	"红皮萝卜"	"斤"	"10143"	"102"		"1"	
"100045"	"绿豆芽"	"斤"	"10144"	"102"		"1"	
"100046"	"黄豆芽"	"斤"	"10145"	"102"		"1"	
"100047"	"蒜苔"	"斤"	"10146"	"102"		"1"	
"100049"	"马蹄"	"斤"	"10148"	"102"		"1"	
"100052"	"茭白"	"斤"	"10151"	"102"		"1"	
"100053"	"黑豆芽"	"斤"	"10152"	"102"		"1"	
"100054"	"小芋头"	"斤"	"10153"	"102"		"1"	
"100055"	"红甜菜根"	"斤"	"10154"	"102"		"1"	
"100057"	"苤蓝"	"斤"	"10156"	"102"		"1"	
"100058"	"韭菜苔"	"斤"	"10157"	"102"		"1"	
"100059"	"花生芽"	"盒"	"10158"	"102"		"1"	
"100060"	"茨菇"	"斤"	"10159"	"102"		"1"	
"100062"	"黄瓜"	"斤"	"10161"	"103"		"1"	
"100063"	"西红柿"	"斤"	"10162"	"103"		"1"	
"100064"	"圆茄子"	"斤"	"10163"	"103"		"1"	
"100065"	"紫把长茄子"	"斤"	"10164"	"103"		"1"	
"100067"	"冬瓜"	"斤"	"10166"	"103"		"1"	
"100068"	"南瓜"	"斤"	"10167"	"103"		"1"	
"100069"	"圣女果"	"斤"	"10168"	"103"		"1"	
"100071"	"苦瓜"	"斤"	"10170"	"103"		"1"	
"100072"	"丝瓜"	"斤"	"10171"	"103"		"1"	
"100074"	"鲜花生"	"斤"	"10173"	"103"		"1"	
"100075"	"青茄子"	"斤"	"10174"	"103"		"1"	
"100077"	"西葫芦"	"斤"	"10176"	"103"		"1"	
"100079"	"节瓜"	"斤"	"10178"	"103"		"1"	
"100080"	"长豇豆"	"斤"	"10224"	"103"		"1"	
"100082"	"扁豆角"	"斤"	"10226"	"103"		"1"	
"100083"	"四季豆"	"斤"	"10227"	"103"		"1"	
"100084"	"鲜毛豆"	"斤"	"10228"	"103"		"1"	
"100085"	"荷兰豆"	"斤"	"10229"	"103"		"1"	
"100086"	"甜豆"	"斤"	"10230"	"103"		"1"	
"100087"	"金瓜"	"斤"	"10526"	"103"		"1"	
"100088"	"油豆角"	"斤"	"10537"	"103"		"1"	
"100090"	"蒜米"	"斤"	"10179"	"104"		"1"	
"100091"	"大葱"	"斤"	"10180"	"104"		"1"	
"100092"	"小葱"	"斤"	"10181"	"104"		"1"	
"100093"	"紫皮洋葱"	"斤"	"10182"	"104"		"1"	
"100094"	"姜"	"斤"	"10183"	"104"		"1"	
"100095"	"黄皮洋葱"	"斤"	"10184"	"104"		"1"	
"100096"	"带皮大蒜"	"斤"	"10185"	"104"		"1"	
"100097"	"青蒜"	"斤"	"10186"	"104"		"1"	
"100098"	"中葱"	"斤"	"10551"	"104"		"1"	
"100099"	"绿尖椒"	"斤"	"10187"	"105"		"1"	
"100101"	"红小米辣椒"	"斤"	"10189"	"105"		"1"	
"100102"	"青线椒"	"斤"	"10190"	"105"		"1"	
"100103"	"螺丝椒"	"斤"	"10191"	"105"		"1"	
"100105"	"杭椒"	"斤"	"10193"	"105"		"1"	
"100106"	"红黄彩椒各"	"斤"	"10194"	"105"		"1"	
"100108"	"平菇"	"斤"	"10196"	"106"		"1"	
"100109"	"香菇"	"斤"	"10197"	"106"		"1"	
"100110"	"金针菇"	"斤"	"10198"	"106"		"1"	
"100111"	"杏鲍菇"	"斤"	"10199"	"106"		"1"	
"100112"	"白玉菇"	"斤"	"10200"	"106"		"1"	
"100114"	"海鲜菇"	"斤"	"10202"	"106"		"1"	
"100115"	"蟹味菇"	"斤"	"10203"	"106"		"1"	
"100116"	"口蘑"	"斤"	"10204"	"106"		"1"	
"100117"	"鲜虫草花"	"斤"	"10205"	"106"		"1"	
"100118"	"茶树菇"	"斤"	"10206"	"106"		"1"	
"100119"	"鸡枞菇"	"斤"	"10207"	"106"		"1"	
"100120"	"滑子菇"	"桶"	"10208"	"106"		"1"	
"100121"	"绣球菌"	"盒"	"10209"	"106"		"1"	
"100124"	"秀珍菇"	"斤"	"10212"	"106"		"1"	
"100126"	"豆皮"	"斤"	"10214"	"107"		"1"	
"100127"	"内酯豆腐"	"盒"	"10215"	"107"		"1"	
"100129"	"鸭血"	"件"	"10217"	"107"		"1"	
"100130"	"熏干"	"斤"	"10218"	"107"		"1"	
"100131"	"油豆泡"	"斤"	"10219"	"107"		"1"	
"100133"	"素鸡"	"根"	"10221"	"107"		"1"	
"100135"	"面筋"	"斤"	"10223"	"107"		"1"	
"100136"	"北豆腐"	"盒"	"10552"	"107"		"1"	
"100137"	"西瓜"	"斤"	"10231"	"108"		"1"	
"100138"	"黄柠檬"	"斤"	"10232"	"108"		"1"	
"100139"	"橙子"	"斤"	"10233"	"108"		"1"	
"100140"	"苹果"	"斤"	"10234"	"108"		"1"	
"100141"	"哈密瓜"	"斤"	"10235"	"108"		"1"	
"100142"	"桃"	"斤"	"10236"	"108"		"1"	
"100143"	"甜瓜"	"斤"	"10237"	"108"		"1"	
