日期,堂食营业额,堂食订单数,堂食顾客数,外卖营业额,外卖订单数,平台抽成,星期几,节假日,备注
2024-03-20,12500.50,156,120,8500.00,85,850.00,3,,天气好
2024-03-21,9800.00,120,95,7200.50,72,720.05,4,,
2024-03-22,15000.00,180,150,9200.00,92,920.00,5,清明节,节日促销
2024-03-23,13500.00,165,130,7800.00,78,780.00,6,,周末促销
2024-03-24,11000.00,140,110,6500.00,65,650.00,0,,
2024-03-25,12000.00,150,115,7000.00,70,700.00,1,,
2024-03-26,10500.00,135,105,6800.00,68,680.00,2,,
2024-03-27,14000.00,170,135,8200.00,82,820.00,3,,
2024-03-28,13000.00,160,125,7500.00,75,750.00,4,,
2024-03-29,16000.00,190,155,9500.00,95,950.00,5,,
2024-03-30,14500.00,175,140,8800.00,88,880.00,6,,周末
2024-03-31,11500.00,145,112,6200.00,62,620.00,0,,
2024-04-01,12500.00,155,120,7100.00,71,710.00,1,,
2024-04-02,11800.00,148,118,6900.00,69,690.00,2,,
2024-04-03,13200.00,162,128,7600.00,76,760.00,3,,
2024-04-04,12800.00,158,123,7400.00,74,740.00,4,清明节,
2024-04-05,15500.00,185,150,9200.00,92,920.00,5,,
2024-04-06,14200.00,172,138,8500.00,85,850.00,6,,
2024-04-07,12000.00,152,118,6800.00,68,680.00,0,,
2024-04-08,12600.00,157,122,7300.00,73,730.00,1,,
2024-04-09,11900.00,149,119,6700.00,67,670.00,2,,
2024-04-10,13800.00,168,133,8100.00,81,810.00,3,,
2024-04-11,12400.00,154,120,7200.00,72,720.00,4,,
2024-04-12,14800.00,178,143,8900.00,89,890.00,5,,
2024-04-13,13600.00,166,131,7900.00,79,790.00,6,,周末
2024-04-14,12200.00,153,117,7000.00,70,700.00,0,,
2024-04-15,12900.00,159,124,7400.00,74,740.00,1,,
2024-04-16,11700.00,147,116,6600.00,66,660.00,2,,
2024-04-17,14100.00,171,137,8300.00,83,830.00,3,,
2024-04-18,12700.00,156,121,7500.00,75,750.00,4,,
2024-04-19,15300.00,184,149,9100.00,91,910.00,5,,
2024-04-20,13900.00,169,134,8000.00,80,800.00,6,,周末
